riddle_id,ques&ans
1,"Category: Animal Riddles</br>Question: What four-legged animal can jump higher than a house?</br>Answer: Any, Houses can't jump.</br>Difficulty: Medium"
2,"Category: Animal Riddles</br>Question: How many of each type of animal did Moses take on the Ark?</br>Answer: None, it was Noah.</br>Difficulty: Hard"
3,Category: Animal Riddles</br>Question: What animal is the best at baseball?</br>Answer: A bat.</br>Difficulty: Medium
4,Category: Animal Riddles</br>Question: What animal is most likely to eat a relative?</br>Answer: An ant-eater!</br>Difficulty: Easy
5,Category: Animal Riddles</br>Question: Why don't African animals play games?</br>Answer: There are too many cheetahs!</br>Difficulty: Easy
6,Category: Animal Riddles</br>Question: Where do animals go to get their new tails when they're broken?</br>Answer: Retail Shop.</br>Difficulty: Easy
7,Category: Animal Riddles</br>Question: What flower would remind you of a certain animal that took a great deal of care about its appearance?</br>Answer: A dandelion (dandy lion).</br>Difficulty: Medium
8,Category: Animal Riddles</br>Question: I can spell yet I have no mouth I can speak to animals but can't speak to humans I am fierce but small. What am I?</br>Answer: I am a bee.</br>Difficulty: Easy
9,Category: Animal Riddles</br>Question: I eat animals but I don't hunt or kill. What am I?</br>Answer: A vulture.</br>Difficulty: Hard
10,"Category: Animal Riddles</br>Question: Through a sea of green and islands of brown, leaving a crystal path behind, safe inside a spiral cave, preparing to come out again. What animal am I?</br>Answer: A snail.</br>Difficulty: Easy"
11,Category: Animal Riddles</br>Question: What kind of animal can do Kung fu?</br>Answer: Kung fu pandas!</br>Difficulty: Medium
12,Category: Animal Riddles</br>Question: What kind of animal is a slope?</br>Answer: A Hypote-moose.</br>Difficulty: Hard
13,Category: Animal Riddles</br>Question: What animal is it the hardest to have a staring contest with?</br>Answer: A fish. They cannot blink!</br>Difficulty: Easy
14,Category: Animal Riddles</br>Question: Add 10 to nothing and you get what animal?</br>Answer: Unanswered.</br>Difficulty: Hard
15,"Category: Animal Riddles</br>Question: A man but an animal, a horn with two hands. What am I?</br>Answer: A Minotaur.</br>Difficulty: Hard"
16,"Category: Animal Riddles</br>Question: What animal would you get crossed a duck, a beaver, and an otter?</br>Answer: A platypus.</br>Difficulty: Easy"
17,"Category: Animal Riddles</br>Question: What animal has more lives than a cat?</br>Answer: A frog, it croaks every night!</br>Difficulty: Medium"
18,"Category: Animal Riddles</br>Question: Add a letter to an animal, and make a building. What is it?</br>Answer: Sable, stable.</br>Difficulty: Hard"
19,"Category: Animal Riddles</br>Question: How are people like animals?</br>Answer: We have bare (bear) feet, frogs in our throats, calves on our legs and bull on our tongue.</br>Difficulty: Easy"
20,Category: Animal Riddles</br>Question: What animals would be the best at playing video games?</br>Answer: An octopus.</br>Difficulty: Medium
21,Category: Animal Riddles</br>Question: What animal probably likes doors?</br>Answer: A door mouse.</br>Difficulty: Hard
22,Category: Animal Riddles</br>Question: What is 1 animal that can see at night but be blinded at day?</br>Answer: A bat.</br>Difficulty: Medium
23,Category: Animal Riddles</br>Question: With what two animals do you always go to bed?</br>Answer: Two calves.</br>Difficulty: Easy
24,"Category: Animal Riddles</br>Question: What animal has no wings, but yet will fly?</br>Answer: A caterpillar has no wings, but will fly when it matures and becomes a butterfly.</br>Difficulty: Medium"
