riddle_id,main_category,riddle_text,Answer,Difficulty
1,Animal Riddles,What four-legged animal can jump higher than a house?,"Any, Houses can't jump.",Medium
2,Animal Riddles,How many of each type of animal did Moses take on the Ark?,"None, it was Noah.",Hard
3,Animal Riddles,What animal is the best at baseball?,A bat.,Medium
4,Animal Riddles,What animal is most likely to eat a relative?,An ant-eater!,Easy
5,Animal Riddles,Why don't African animals play games?,There are too many cheetahs!,Easy
6,Animal Riddles,Where do animals go to get their new tails when they're broken?,Retail Shop.,Easy
7,Animal Riddles,What flower would remind you of a certain animal that took a great deal of care about its appearance?,A dandelion (dandy lion).,Medium
8,Animal Riddles,I can spell yet I have no mouth I can speak to animals but can't speak to humans I am fierce but small. What am I?,I am a bee.,Easy
9,Animal Riddles,I eat animals but I don't hunt or kill. What am I?,A vulture.,Hard
10,Animal Riddles,"Through a sea of green and islands of brown, leaving a crystal path behind, safe inside a spiral cave, preparing to come out again. What animal am I?",A snail.,Easy
11,Animal Riddles,What kind of animal can do Kung fu?,Kung fu pandas!,Medium
12,Animal Riddles,What kind of animal is a slope?,A Hypote-moose.,Hard
13,Animal Riddles,What animal is it the hardest to have a staring contest with?,A fish. They cannot blink!,Easy
14,Animal Riddles,Add 10 to nothing and you get what animal?,Unanswered.,Hard
15,Animal Riddles,"A man but an animal, a horn with two hands. What am I?",A Minotaur.,Hard
16,Animal Riddles,"What animal would you get crossed a duck, a beaver, and an otter?",A platypus.,Easy
17,Animal Riddles,What animal has more lives than a cat?,"A frog, it croaks every night!",Medium
18,Animal Riddles,"Add a letter to an animal, and make a building. What is it?","Sable, stable.",Hard
19,Animal Riddles,How are people like animals?,"We have bare (bear) feet, frogs in our throats, calves on our legs and bull on our tongue.",Easy
20,Animal Riddles,What animals would be the best at playing video games?,An octopus.,Medium
21,Animal Riddles,What animal probably likes doors?,A door mouse.,Hard
22,Animal Riddles,What is 1 animal that can see at night but be blinded at day?,A bat.,Medium
23,Animal Riddles,With what two animals do you always go to bed?,Two calves.,Easy
24,Animal Riddles,"What animal has no wings, but yet will fly?","A caterpillar has no wings, but will fly when it matures and becomes a butterfly.",Medium
25,Animal Riddles,Use all letters of this sentence once each only to spell out three animals. 'TALL ELEPHANT OR APEMAN' What are the three animals?,"PANTHER, ANTELOPE, LLAMA",Hard
26,Animal Riddles,Why did Tigger go to the bathroom?,"He wanted to find his friend, Pooh!",Medium
27,Animal Riddles,What do you call a bear with no teeth?,A gummy bear.,Hard
28,Animal Riddles,Why couldn't Goldilocks sleep?,Because of night-bears.,Medium
29,Animal Riddles,Why are teddy bears never hungry?,Because they are stuffed.,Medium
30,Animal Riddles,A man builds a house with all 4 sides facing south. A bear walks past the house. What color is the bear?,"White, the house is built directly on the North Pole.",Easy
31,Animal Riddles,"There are 30 cows in a field, and 28 chickens. How many didn't?","10. Listen closely: 30 cows, and twenty-eight chickens. Say EIGHT and ATE. They sound the same. Therefore, it means 20 ATE chickens. 30-20=10, so 10 cows didn't eat any chickens.",Medium
32,Animal Riddles,There are two bodies on the floor. They are surrounded by water and broken glass. How did they die?,The bodies were goldfish because their fishbowl got knocked over onto the floor and broke.,Easy
33,Animal Riddles,"It has a long neck, a name of a bird, feeds on ships cargo, and is not alive. What is it?",A crane.,Hard
34,Animal Riddles,"Which bird does not belong in this group? Finch, gull, eagle, ostrich, or sparrow?",The Ostrich. It's the only bird that doesn't fly.,Easy
35,Animal Riddles,There are 2 ducks in front of 2 other ducks. There are 2 ducks behind 2 other ducks. There are 2 ducks beside 2 other ducks. How many ducks are there?,"Just four, in a square formation.",Easy
36,Animal Riddles,"There are 30 cows in a field, and 28 chickens. How many didn't?","10. Listen closely: 30 cows, and twenty-eight chickens. Say EIGHT and ATE. They sound the same. Therefore, it means 20 ATE chickens. 30-20=10, so 10 cows didn't eat any chickens.",Medium
37,Animal Riddles,"If a rooster laid a brown egg and a white egg, what kind of chicks would hatch?",Roosters don't lay eggs.,Easy
38,Animal Riddles,Why did the turkey cross the road?,To prove he wasn't chicken.,Easy
39,Animal Riddles,"If a chicken says, ""All chickens are liars"". Is the chicken telling the truth?",Answer: Chickens cannot talk.,Easy
40,Animal Riddles,"If it takes 5 microwaves 5 minutes to cook 5 chickens, how long does it take 100 microwaves to cook 100 chickens?",5 minutes. We can assume that one chicken is placed in each microwave and that each chicken takes 5 minutes to cook.,Hard
41,Animal Riddles,"If there are four sheep, two dogs, and one herds-men, how many feet are there?",Two. Sheep have hooves; dogs have paws; only people have feet.,Hard
42,Animal Riddles,"All of Mrs. Smith's pets are dogs except one, and all her pets are cats except one. How many cats and dogs does she have?",Mrs. Smith has one cat and one dog.,Easy
43,Animal Riddles,How can you tell the difference between dogs and trees?,By their bark.,Hard
44,Animal Riddles,What animal keeps the best time?,A Watchdog.,Easy
45,Animal Riddles,"To you, rude would I never be, Though I flag my tongue for all to see. What am I?",A dog!,Easy
46,Animal Riddles,There are 2 ducks in front of 2 other ducks. There are 2 ducks behind 2 other ducks. There are 2 ducks beside 2 other ducks. How many ducks are there?,"Just four, in a square formation.",Easy
47,Animal Riddles,What happened when the rubber duckie fell into the bathtub?,It quacked up.,Hard
48,Animal Riddles,What do you call a crate of ducks?,A box of quackers!,Medium
49,Animal Riddles,Arnold Schwarzenegger's is really long. Michael J. Fox's is short. Daffy Duck isn't human. Madonna doesn't have one. What am I?,The last name.,Hard
50,Animal Riddles,"A mouse, a squirrel, a duck, a chicken, and an elephant are sitting on the side of the road. Someone offers them a lift, but one prefers to stay. Who preferred to stay?","The Elephant Stayed. If you didn't know, elephants are scared of mice.",Hard
51,Animal Riddles,"Two fathers and two sons went fishing one day. They were there the whole day and only caught 3 fish. One father said, that is enough for all of us, we will have one each. How can this be possible?","There was the father, his son, and his son's son. This equals 2 fathers and 2 sons for a total of 3!",Medium
52,Animal Riddles,I am a word of six; my first three letters refer to an automobile; my last three letters refer to a household animal; my first four letters is a fish; my whole is found in your room. What am I?,A carpet.,Easy
53,Animal Riddles,There are two bodies on the floor. They are surrounded by water and broken glass. How did they die?,The bodies were goldfish because their fishbowl got knocked over onto the floor and broke.,Easy
54,Animal Riddles,"What has cities, but no houses; forests, but no trees; and water, but no fish?",A map.,Medium
55,Animal Riddles,"If fish lived on land, where would they live?",In Finland.,Hard
56,Animal Riddles,"A farmer has twenty sheep, ten pigs, and ten cows. If we call the pigs cows, how many cows will he have?",Ten Cows. We can call the pigs cows but it doesn't make them cows.,Medium
57,Animal Riddles,What do you call pigs that write letters to each other?,Pen Pals.,Hard
58,Animal Riddles,Why can't you play basketball with pigs?,Because they will "hog" the ball!,Hard
59,Animal Riddles,Why did Momma Pig leave her husband?,Because he was a boar.,Easy
60,Animal Riddles,What do you call a pig that does karate?,A Porkchop.,Easy
61,Animal Riddles,Do rabbits use combs?,"No, they use hare brushes.",Medium
62,Animal Riddles,How can you say rabbit without using the letter R?,Bunny.,Medium
63,Animal Riddles,How many hairs are in a bunny rabbit's tail?,None. They are all outside.,Easy
64,Animal Riddles,Where does a rabbit go for shampoo?,To a hare-dresser.,Medium
65,Animal Riddles,Who is never hungry during Christmas?,The turkey because he is always stuffed.,Easy
66,Animal Riddles,Why did they let the turkey join the thanksgiving band?,Because he had the drumsticks.,Easy
67,Animal Riddles,Why did the turkey cross the road?,To prove he wasn't chicken.,Medium
68,Animal Riddles,Why didn't the turkey finish its dessert?,Because it was stuffed.,Hard
69,Animal Riddles,What kind of key do you use on Thanksgiving?,A tur-key.,Medium
70,Baseball Riddles,What did the baseball glove say to the ball?,Catch you later.,Easy
71,Baseball Riddles,How do you know that a vampire loves baseball?,Because he turns into a bat every night.,Medium
72,Baseball Riddles,What animal is the best at baseball?,A bat.,Hard
73,Baseball Riddles,"A guy was waiting at home, he swung a metal pole then took 3 left turns, and on his way back home there was a masked man waiting for him. What is he doing and who is the masked man?",He is playing baseball and the masked man is the Catcher.,Medium
74,Baseball Riddles,"Name the only sport in which the ball is always in possession of the team on defense, and the offensive team can score without touching the ball?",Baseball!,Medium
75,Baseball Riddles,Why is the baseball field hot after a game?,All the fans left.,Hard
76,Baseball Riddles,Why did the baseball coach hire a piano player?,Because his player had the perfect pitch!,Medium
77,Baseball Riddles,Where do coal diggers play baseball?,The minor (miner) leagues.,Medium
78,Baseball Riddles,Why was the baseball player's food always dirty?,He always stepped on the plate.,Easy
79,Baseball Riddles,What was the spider doing on the baseball team?,Catching flies.,Medium
80,Baseball Riddles,What has 18 legs and catches flies?,A baseball team.,Easy
81,Baseball Riddles,What song was the baseball player singing on third base?,"""There's no place like home.""",Medium
82,Baseball Riddles,Why was the chef hired to coach the baseball team?,Because he knew how to handle batter.,Medium
83,Baseball Riddles,What position do pigs play on the baseball field?,Short-stop.,Medium
84,Baseball Riddles,"I play on a diamond, I play fair, I always get dirty, And then I run home. What Am I?",Baseball Player,Easy
85,Baseball Riddles,"A man is running home, where he meets 2 men with masks on. Then he runs away from home. What is this man's job?",A baseball player. The 2 masked men are the umpire and the catcher.,Hard
86,Baseball Riddles,Where do great dragon baseball players go?,To the Hall Of Flame.,Easy
87,Baseball Riddles,Why can't turtles play baseball?,They can't run home.,Hard
88,Baseball Riddles,What's the first game in the Bible?,"Baseball Why: because In the big inning, Eve stole first, and Adam stole second. Cain struck out Abel, and the Prodigal Son came home. The Giants and the Angels were rained out.",Medium
89,Baseball Riddles,There was a man who everybody called Batman he knew nothing about bats and thought they were gross. He still loved it when people called him Batman! How could this be?,He was the star baseball player!,Medium
90,Baseball Riddles,Why don't chickens play baseball?,Because they hit fowl balls.,Hard
91,Basketball Riddles,What is a good restaurant for a basketball team?,Dunkin Donuts.,Hard
92,Basketball Riddles,Why can't you play basketball with pigs?,Because they will "hog" the ball!,Easy
93,Basketball Riddles,"A man takes a basketball and throws it as hard as he can. There is nothing in front, behind, or on either side of him, and yet, the ball comes back and hits him square in the face. How can this be?",He threw the ball straight up in the air.,Easy
94,Basketball Riddles,What did the hoop say to the basketball?,May all your swishes come true!,Medium
95,Basketball Riddles,What do you call a basketball game with no ball?,A basket game!,Hard
96,Basketball Riddles,"In the NBA, how many men are on the basketball court for each team?","Five, not ten!",Easy
97,Bathroom Riddles,Why did Tigger go to the bathroom?,"He wanted to find his friend, Pooh!",Medium
98,Bathroom Riddles,"If two snakes marry, what will their towels say?",Hiss and Hers.,Easy
99,Bathroom Riddles,I am wet when drying. What am I?,A towel.,Easy
100,Bathroom Riddles,What happened to Einstein when he took a shower?,He was brain-washed.,Medium
101,Bathroom Riddles,"If April showers bring may flowers, what do may flowers bring?",Pilgrims.,Hard
102,Bathroom Riddles,On a fine sunny day a ship was in the harbor. All of a sudden the ship began to sink. There was no storm and nothing wrong with the ship yet it sank right in front of the spectator's eyes. What caused the ship to sink?,It was a Submarine.,Medium
103,Bathroom Riddles,What gets wetter the more it dries?,A towel.,Medium
104,Bathroom Riddles,"You go in me for brushing, For flushing, For rushing; But please go in me one at a time, Or someone might be blushing. What am I?",A bathroom.,Hard
105,Bathroom Riddles,How can people without noses smell?,If they don't shower.,Easy
106,Bathroom Riddles,What do you call a tree that has been TP'ed?,A toiletry.,Hard
